Loved Syn,Angry Syn,Sad Syn,Joyful Syn,Content Syn,Fearful Syn,Proud Syn,disgusted,Interested syn,guilty syn
beloved,indignant,melancholy,joyous,satisfied,afraid,prideful,sick,involved,culpable
precious,wrathful,doleful,glad,happy,fearsome,glad,fed up,excited,censurable
dear,furious,blue,happy,contented,panicky,pleased,sick of,fascinated,chargeable
darling,mad,mournful,festive,gratified,scared,contented,nauseated,keen,regretful
cherished,choleric,woebegone,merry,pleased,frightened,thrilled,repelled,into,blameworthy
none,irate,dejected,pleased,complacent,terrible,self-respecting,repulsed,affected,criminal
sweet,sore,low,elated,smug,dreadful,well-pleased,tired,intent,conscience-stricken
adored,ireful,wistful,overjoyed,fulfilled,timid,appreciative,sickened,concerned,rueful
favorite,outraged,down,delighted,at ease,dire,joyful,weary,responsive,blamable
fair-haired,incensed,sorrowful,cheery,self-satisfied,petrified,dignified,outraged,attracted,remorseful
pet,enraged,downcast,jubilant,comfortable,fainthearted,satisfied,appalled,attentive,contrite
favored,infuriated,gloomy,cheerful,tickled pink,frightful,gratified,revolted,drawn,blameful
wanted,splenetic,sorry,pleasurable,buoyant,terrified,lofty,abhorred,stimulated,hangdog
idolised,hot,lugubrious,gladsome,pleased as punch,jittery,content,satiated,curious,reprehensible
treasured,annoyed,low-spirited,jocund,willing,chicken,haughty,squeamish,engrossed,shamefaced
best-loved,ill-tempered,melancholic,beatific,willing to accept,nervous,lordly,offended,moved,delinquent
worshipped,irascible,depressed,rapturous,gloating,chickenhearted,bright,up to here,entranced,depraved
favourite,irritated,glum,sunny,appeased,direful,euphoric,full up,high,evil
fond,piqued,dismal,gay,agreeable,funky,elated,had bellyful,riveted,erring
special,cross,unhappy,enjoyable,brought about,ghastly,disdainful,overwrought,occupied,felonious
admired,livid,disconsolate,high,self-fulfilment,unmanly,merry,had enough,agog,liable
idolized,exasperated,forlorn,pleasing,cushy,yellow,honored,unhappy,enticed,in the wrong
preferred,provoked,joyless,chuffed,disposed to look on the bright side,horrendous,overjoyed,shocked,impressed,punishable
white-headed,raging,despondent,gratified,fresh,pusillanimous,superior,fastidious,intrigued,sorry
love me,riled,heartsick,enraptured,well-pleased,aghast,delighted,queasy,eager,convicted
besotted,heated,desolate,gleeful,reached,apprehensive,happy,teed off,engaged,at fault
think the sun shines out (of) sbs arse/backside idiom,resentful,woeful,ecstatic,glorying,intimidated,big,nauseous,sympathetic,sinful
worshiped,displeased,cheerless,satisfied,stoked,lily-livered,supercilious,sick and tired of,enthusiastic,indictable
main,wroth,downhearted,jolly,positive,scary,cock-a-hoop,grossed out,intoxicated,wicked
well-liked,fuming,pensive,blissful,running,dread,arrogant,displeased,caught,in error
adoringly,incandescent,heartbroken,made up,thatll do nicely idiom,goose-bumpy,cheerful,tired of,fired,guilt-ridden
number one,uptight,heavyhearted,expansive,gruntled,horrible,gruntled,had it,spellbound,out of line
fondly,angered,sick at heart,tickled,gemütlich,disquieted,gorgeous,scandalized,gripped,censured
well liked,apoplectic,miserable,delirious,temperate,shrinking,glorious,turned off,lured,condemned
bosom,inflamed,grieved,thrilled,amusing,worried,chuffed,despise,open,shamed
lovingly,hot under the collar,crestfallen,heartening,flying high,terror-stricken,gay,cut,obsessed,ashamed
treasure,nettled,down in the mouth,perky,unconstrained,shy,majestic,scared,absorbed,offending
fall in love idiom,maddened,grief-stricken,exalted,fun-loving,dastardly,magnificent,take,delirious,sheepish
lurve,steaming,distressed,blithe,safe,recreant,overbearing,disgusted,mad,responsible
lionized,bitter,morose,transported,matured,tremulous,cheery,thing,on the case,accusable
charming,shirty,wretched,jovial,inviting,frightening,up,afraid,captivated,blameable
the apple of sbs eye idiom,huffy,heavy-hearted,exultant,frenzied,panic-stricken,charmed,daunted,awakened,convictable
feeling,irritable,inconsolable,doing handsprings,self-satisfaction,poor-spirited,fulfilled,turn,struck,licentious
head over heels (in love) idiom,cheesed off,lachrymose,lighthearted,flipping,ascared,blissful,knocked for six,taken,bad
endearing,snappy,frustrated,high-spirited,forthright,mousy,spirited,not know what sb sees in sb/sth idiom,gone,wrong
